t,y0,y1,y2,error_norm,h
21.2212212212,0.7770152985,0.0000120014,0.2229727001,0.1971173295,0.1720058478
21.3213213213,0.7765836320,0.0000119780,0.2234043900,0.1971173295,0.1720058478
21.4214214214,0.7761536427,0.0000119547,0.2238344026,0.1934329506,0.1720058478
21.5215215215,0.7757253165,0.0000119318,0.2242627517,0.1898372117,0.1720058478
21.6216216216,0.7752986403,0.0000119086,0.2246894511,0.1898372117,0.1720058478
21.7217217217,0.7748736000,0.0000118860,0.2251145140,0.1947677037,0.1756798822
21.8218218218,0.7744501829,0.0000118632,0.2255379540,0.1947677037,0.1756798822
21.9219219219,0.7740283754,0.0000118407,0.2259597839,0.1911307643,0.1756798822
22.0220220220,0.7736081647,0.0000118184,0.2263800169,0.1958622977,0.1793425667
22.1221221221,0.7731895382,0.0000117960,0.2267986658,0.1958622977,0.1793425667
22.2222222222,0.7727724829,0.0000117741,0.2272157431,0.1921901304,0.1793425667
22.3223223223,0.7723569867,0.0000117519,0.2276312614,0.1921901304,0.1793425667
22.4224224224,0.7719430367,0.0000117303,0.2280452331,0.1967553362,0.1830071407
22.5225225225,0.7715306213,0.0000117083,0.2284576704,0.1967553362,0.1830071407
22.6226226226,0.7711197279,0.0000116869,0.2288685851,0.1930530003,0.1830071407
22.7227227227,0.7707103452,0.0000116653,0.2292779895,0.1930530003,0.1830071407
22.8228228228,0.7703024608,0.0000116441,0.2296858951,0.1974795293,0.1866851615
22.9229229229,0.7698960636,0.0000116228,0.2300923136,0.1974795293,0.1866851615
23.0230230230,0.7694911418,0.0000116018,0.2304972564,0.1937513030,0.1866851615
23.1231231231,0.7690876841,0.0000115809,0.2309007350,0.1901134809,0.1866851615
23.2232232232,0.7686856794,0.0000115600,0.2313027606,0.1901134809,0.1866851615
23.3233233233,0.7682851164,0.0000115394,0.2317033442,0.1949393737,0.1906555765
23.4234234234,0.7678859845,0.0000115186,0.2321024968,0.1949393737,0.1906555765
23.5235235235,0.7674882724,0.0000114984,0.2325002292,0.1912642726,0.1906555765
23.6236236236,0.7670919700,0.0000114778,0.2328965522,0.1912642726,0.1906555765
23.7237237237,0.7666970659,0.0000114578,0.2332914763,0.1959117604,0.1946238478
23.8238238238,0.7663035505,0.0000114374,0.2336850121,0.1959117604,0.1946238478
23.9239239239,0.7659114127,0.0000114177,0.2340771696,0.1922047987,0.1946238478
24.0240240240,0.7655206430,0.0000113975,0.2344679595,0.1922047987,0.1946238478
24.1241241241,0.7651312305,0.0000113780,0.2348573915,0.1967031521,0.1986030322
24.2242242242,0.7647431660,0.0000113581,0.2352454759,0.1967031521,0.1986030322
24.3243243243,0.7643564390,0.0000113388,0.2356322223,0.1929689221,0.1986030322
24.4244244244,0.7639710402,0.0000113191,0.2360176407,0.1929689221,0.1986030322
24.5245245245,0.7635869594,0.0000113000,0.2364017407,0.1973429111,0.2026045650
24.6246246246,0.7632041877,0.0000112805,0.2367845318,0.1973429111,0.2026045650
24.7247247247,0.7628227149,0.0000112616,0.2371660235,0.1935852999,0.2026045650
24.8248248248,0.7624425324,0.0000112424,0.2375462252,0.1935852999,0.2026045650
24.9249249249,0.7620636304,0.0000112237,0.2379251460,0.1899195261,0.2026045650
25.0250250250,0.7616860002,0.0000112046,0.2383027952,0.1899195261,0.2026045650
25.1251251251,0.7613096322,0.0000111862,0.2386791816,0.1947056384,0.2069327791
25.2252252252,0.7609345181,0.0000111673,0.2390543145,0.1947056384,0.2069327791
25.3253253253,0.7605606485,0.0000111490,0.2394282025,0.1910046038,0.2069327791
25.4254254254,0.7601880151,0.0000111304,0.2398008545,0.1910046038,0.2069327791
25.5255255255,0.7598166088,0.0000111123,0.2401722789,0.1956221600,0.2112647215
25.6256256256,0.7594464215,0.0000110939,0.2405424846,0.1956221600,0.2112647215
25.7257257257,0.7590774443,0.0000110760,0.2409114798,0.1918910310,0.2112647215
25.8258258258,0.7587096692,0.0000110578,0.2412792730,0.1918910310,0.2112647215
25.9259259259,0.7583430875,0.0000110400,0.2416458726,0.1963675436,0.2156138863
26.0260260260,0.7579776913,0.0000110221,0.2420112866,0.1963675436,0.2156138863
26.1261261261,0.7576134724,0.0000110043,0.2423755233,0.1963675436,0.2156138863
26.2262262262,0.7572504227,0.0000109867,0.2427385906,0.1926107046,0.2156138863
26.3263263263,0.7568885344,0.0000109691,0.2431004966,0.1926107046,0.2156138863
26.4264264264,0.7565277993,0.0000109518,0.2434612490,0.1969694575,0.2199921247
26.5265265265,0.7561682101,0.0000109342,0.2438208557,0.1969694575,0.2199921247
26.6266266266,0.7558097585,0.0000109171,0.2441793244,0.1931906250,0.2199921247
26.7267267267,0.7554524375,0.0000108997,0.2445366628,0.1931906250,0.2199921247
26.8268268268,0.7550962390,0.0000108828,0.2448928782,0.1974512520,0.2244098804
26.9269269269,0.7547411560,0.0000108656,0.2452479784,0.1974512520,0.2244098804
27.0270270270,0.7543871806,0.0000108488,0.2456019705,0.1936535742,0.2244098804
27.1271271271,0.7540343060,0.0000108319,0.2459548621,0.1936535742,0.2244098804
27.2272272272,0.7536825246,0.0000108151,0.2463066602,0.1936535742,0.2244098804
27.3273273273,0.7533318293,0.0000107985,0.2466573722,0.1899497599,0.2244098804
27.4274274274,0.7529822132,0.0000107818,0.2470070050,0.1899497599,0.2244098804
27.5275275275,0.7526336688,0.0000107655,0.2473555658,0.1946462887,0.2292056159
27.6276276276,0.7522861897,0.0000107488,0.2477030615,0.1946462887,0.2292056159
27.7277277277,0.7519397684,0.0000107327,0.2480494989,0.1909108616,0.2292056159
27.8278278278,0.7515943988,0.0000107163,0.2483948850,0.1909108616,0.2292056159
27.9279279279,0.7512500734,0.0000107002,0.2487392264,0.1954567484,0.2340167884
28.0280280280,0.7509067861,0.0000106840,0.2490825299,0.1954567484,0.2340167884
28.1281281281,0.7505645300,0.0000106679,0.2494248021,0.1954567484,0.2340167884
28.2282282282,0.7502232984,0.0000106521,0.2497660495,0.1916943972,0.2340167884
28.3283283283,0.7498830852,0.0000106360,0.2501062788,0.1916943972,0.2340167884
28.4284284284,0.7495438835,0.0000106204,0.2504454961,0.1961141216,0.2388569832
28.5285285285,0.7492056874,0.0000106046,0.2507837081,0.1961141216,0.2388569832
28.6286286286,0.7488684901,0.0000105890,0.2511209209,0.1923288300,0.2388569832
28.7287287287,0.7485322858,0.0000105734,0.2514571408,0.1923288300,0.2388569832
28.8288288288,0.7481970681,0.0000105578,0.2517923741,0.1923288300,0.2388569832
28.9289289289,0.7478628307,0.0000105426,0.2521266267,0.1966430922,0.2437381838
29.0290290290,0.7475295680,0.0000105270,0.2524599050,0.1966430922,0.2437381838
29.1291291291,0.7471972734,0.0000105119,0.2527922147,0.1928382419,0.2437381838
29.2292292292,0.7468659414,0.0000104966,0.2531235620,0.1928382419,0.2437381838
29.3293293293,0.7465355660,0.0000104814,0.2534539526,0.1928382419,0.2437381838
