t,m,p,error_norm,h
11.6429107277,0.5679707095,1.6199868589,0.1355831138,0.2053506007
11.7029257314,0.5774558242,1.6007023802,0.1355831138,0.2053506007
11.7629407352,0.5871103762,1.5816723432,0.1322286632,0.2053506007
11.8229557389,0.5969348544,1.5628946642,0.1322286632,0.2053506007
11.8829707427,0.6069296679,1.5443673257,0.1322286632,0.2053506007
11.9429857464,0.6170951403,1.5260883791,0.1322286632,0.2053506007
12.0030007502,0.6274315084,1.5080559458,0.0171489181,0.1374630816
12.0630157539,0.6379389178,1.4902682206,0.0171489181,0.1374630816
12.1230307577,0.6486174196,1.4727234741,0.0171489181,0.1374630816
12.1830457614,0.6594669656,1.4554200553,0.0044941598,0.1055491283
12.2430607652,0.6704874060,1.4383563940,0.0227268560,0.1462397066
12.3030757689,0.6816784842,1.4215310045,0.0227268560,0.1462397066
12.3630907727,0.6930398341,1.4049424883,0.0227268560,0.1462397066
12.4231057764,0.7045709749,1.3885895378,0.0223725736,0.1462397066
12.4831207802,0.7162713084,1.3724709394,0.0223725736,0.1462397066
12.5431357839,0.7281401140,1.3565855780,0.0410395475,0.1655277200
12.6031507877,0.7401765449,1.3409324403,0.0410395475,0.1655277200
12.6631657914,0.7523796244,1.3255106190,0.0410395475,0.1655277200
12.7231807952,0.7647482403,1.3103193183,0.0489189632,0.1718866546
12.7831957989,0.7772811423,1.2953578573,0.0489189632,0.1718866546
12.8432108027,0.7899769369,1.2806256756,0.0489189632,0.1718866546
12.9032258065,0.8028340820,1.2661223392,0.0659613767,0.1828159399
12.9632408102,0.8158508842,1.2518475446,0.0659613767,0.1828159399
13.0232558140,0.8290254935,1.2378011261,0.0659613767,0.1828159399
13.0832708177,0.8423558973,1.2239830618,0.0777361715,0.1891098669
13.1432858215,0.8558399179,1.2103934790,0.0777361715,0.1891098669
13.2033008252,0.8694752068,1.1970326626,0.0777361715,0.1891098669
13.2633158290,0.8832592383,1.1839010625,0.0926528811,0.1957999761
13.3233308327,0.8971893066,1.1709992996,0.0926528811,0.1957999761
13.3833458365,0.9112625208,1.1583281749,0.0926528811,0.1957999761
13.4433608402,0.9254757966,1.1458886801,0.1051674965,0.2004217020
13.5033758440,0.9398258540,1.1336820031,0.1051674965,0.2004217020
13.5633908477,0.9543092122,1.1217095386,0.1051674965,0.2004217020
13.6234058515,0.9689221806,1.1099729013,0.1051674965,0.2004217020
13.6834208552,0.9836608553,1.0984739321,0.1072508407,0.2004217020
13.7434358590,0.9985211144,1.0872147100,0.1072508407,0.2004217020
13.8034508627,1.0134986099,1.0761975666,0.1072508407,0.2004217020
13.8634658665,1.0285887605,1.0654250965,0.1266059486,0.2059120107
13.9234808702,1.0437867486,1.0549001679,0.1266059486,0.2059120107
13.9834958740,1.0590875123,1.0446259386,0.1266059486,0.2059120107
14.0435108777,1.0744857360,1.0346058726,0.1266059486,0.2059120107
14.1035258815,1.0899758463,1.0248437485,0.1320404203,0.2059120107
14.1635408852,1.1055520060,1.0153436775,0.1320404203,0.2059120107
14.2235558890,1.1212081028,1.0061101243,0.1320404203,0.2059120107
14.2835708927,1.1369377429,0.9971479183,0.1391998084,0.2059120107
14.3435858965,1.1527342460,0.9884622704,0.1391998084,0.2059120107
14.4036009002,1.1685906348,0.9800587959,0.1391998084,0.2059120107
14.4636159040,1.1844996245,0.9719435343,0.1481909082,0.2059120107
14.5236309077,1.2004536178,0.9641229626,0.1481909082,0.2059120107
14.5836459115,1.2164446967,0.9566040193,0.1481909082,0.2059120107
14.6436609152,1.2324646085,0.9493941328,0.1481909082,0.2059120107
14.7036759190,1.2485047591,0.9425012340,0.1590791633,0.2059120107
14.7636909227,1.2645562063,0.9359337813,0.1590791633,0.2059120107
14.8237059265,1.2806096458,0.9297007915,0.1590791633,0.2059120107
14.8837209302,1.2966554002,0.9238118614,0.1718718954,0.2059120107
14.9437359340,1.3126834132,0.9182771883,0.1718718954,0.2059120107
15.0037509377,1.3286832381,0.9131076020,0.1718718954,0.2059120107
15.0637659415,1.3446440223,0.9083145990,0.1718718954,0.2059120107
15.1237809452,1.3605545013,0.9039103577,0.1864963232,0.2059120107
15.1837959490,1.3764029889,0.8999077732,0.1864963232,0.2059120107
15.2438109527,1.3921773626,0.8963204955,0.1864963232,0.2059120107
15.3038259565,1.4078650532,0.8931629526,0.2027696049,0.2059120107
15.3638409602,1.4234530378,0.8904503796,0.2027696049,0.2059120107
15.4238559640,1.4389278295,0.8881988587,0.2027696049,0.2059120107
15.4838709677,1.4542754626,0.8864253568,0.2027696049,0.2059120107
15.5438859715,1.4694814890,0.8851477450,0.2203342426,0.2059120107
15.6039009752,1.4845309708,0.8843848426,0.2203342426,0.2059120107
15.6639159790,1.4994084702,0.8841564608,0.2203342426,0.2059120107
15.7239309827,1.5140980448,0.8844834251,0.2141857326,0.2015825514
15.7839459865,1.5285832463,0.8853876146,0.2141857326,0.2015825514
15.8439609902,1.5428471197,0.8868920082,0.2141857326,0.2015825514
15.9039759940,1.5568722018,0.8890207187,0.0082329070,0.1037341683
15.9639909977,1.5706405264,0.8917990194,0.0082329070,0.1037341683
16.0240060015,1.5841336354,0.8952533998,0.0784033155,0.1616032655
16.0840210053,1.5973325879,0.8994115927,0.0784033155,0.1616032655
16.1440360090,1.6102179809,0.9043026156,0.0784033155,0.1616032655
16.2040510128,1.6227699691,0.9099568092,0.0419238157,0.1414914113
16.2640660165,1.6349682955,0.9164058721,0.0419238157,0.1414914113
16.3240810203,1.6467923311,0.9236829030,0.0850111545,0.1619477169
16.3840960240,1.6582211125,0.9318224309,0.0850111545,0.1619477169
16.4441110278,1.6692334035,0.9408604559,0.0850111545,0.1619477169
16.5041260315,1.6798077535,0.9508344829,0.0870312401,0.1619477169
16.5641410353,1.6899225652,0.9617835507,0.0870312401,0.1619477169
16.6241560390,1.6995561945,0.9737482725,0.0870312401,0.1619477169
16.6841710428,1.7086870281,0.9867708556,0.1058879258,0.1684305584
16.7441860465,1.7172935947,1.0008951366,0.1058879258,0.1684305584
16.8042010503,1.7253547021,1.0161666090,0.1026180153,0.1684305584
16.8642160540,1.7328495369,1.0326324371,0.1026180153,0.1684305584
16.9242310578,1.7397578248,1.0503414870,0.1026180153,0.1684305584
16.9842460615,1.7460599940,1.0693443414,0.1119315005,0.1742126984
17.0442610653,1.7517373010,1.0896933050,0.1119315005,0.1742126984
17.1042760690,1.7567720328,1.1114424268,0.1119315005,0.1742126984
17.1642910728,1.7611476764,1.1346475026,0.0961354466,0.1742126984
17.2243060765,1.7648490667,1.1593660669,0.0961354466,0.1742126984
17.2843210803,1.7678626033,1.1856573983,0.0961354466,0.1742126984
17.3443360840,1.7701764061,1.2135825159,0.0938086835,0.1826563632
17.4043510878,1.7717804644,1.2432041464,0.0938086835,0.1826563632
17.4643660915,1.7726668287,1.2745867079,0.0938086835,0.1826563632
17.5243810953,1.7728297298,1.3077963008,0.0751691865,0.1898427315
17.5843960990,1.7722656927,1.3429006486,0.0751691865,0.1898427315
17.6444111028,1.7709736617,1.3799690466,0.0751691865,0.1898427315
17.7044261065,1.7689550596,1.4190723408,0.0756975917,0.2031282596
17.7644411103,1.7662138301,1.4602828556,0.0756975917,0.2031282596
17.8244561140,1.7627564743,1.5036742925,0.0756975917,0.2031282596
17.8844711178,1.7585920060,1.5493216730,0.0756975917,0.2031282596
17.9444861215,1.7537319206,1.5973012770,0.1487776947,0.2133165525
18.0045011253,1.7481901454,1.6476904832,0.1487776947,0.2133165525
18.0645161290,1.7419828590,1.7005676508,0.1487776947,0.2133165525
18.1245311328,1.7351283966,1.7560120558,0.1768467178,0.2039099111
18.1845461365,1.7276471098,1.8141037121,0.1768467178,0.2039099111
18.2445611403,1.7195611540,1.8749231758,0.1768467178,0.2039099111
18.3045761440,1.7108942364,1.9385514100,0.1768467178,0.2039099111
18.3645911478,1.7016714916,2.0050696532,0.2154303397,0.2039099111
18.4246061515,1.6919192332,2.0745591188,0.2154303397,0.2039099111
18.4846211553,1.6816646470,2.1471007820,0.2154303397,0.2039099111
18.5446361590,1.6709356451,2.2227752535,0.1997630024,0.1980731661
18.6046511628,1.6597606429,2.3016624333,0.1997630024,0.1980731661
18.6646661665,1.6481682929,2.3838411964,0.1997630024,0.1980731661
18.7246811703,1.6361872869,2.4693891965,0.1951471585,0.1980731661
18.7846961740,1.6238462155,2.5583825644,0.1951471585,0.1980731661
18.8447111778,1.6111733593,2.6508954540,0.1951471585,0.1980731661
18.9047261815,1.5981964995,2.7469997353,0.1951471585,0.1980731661
18.9647411853,1.5849428381,2.8467647631,0.1793128361,0.1980731661
19.0247561890,1.5714388569,2.9502568050,0.1793128361,0.1980731661
19.0847711928,1.5577101894,3.0575385938,0.1793128361,0.1980731661
19.1447861965,1.5437815637,3.1686691052,0.1590545978,0.1980731661
19.2048012003,1.5296767379,3.2837029820,0.1590545978,0.1980731661
19.2648162041,1.5154184361,3.4026899112,0.1590545978,0.1980731661
19.3248312078,1.5010283121,3.5256743041,0.1401288145,0.1980731661
19.3848462116,1.4865269387,3.6526948391,0.1401288145,0.1980731661
19.4448612153,1.4719337947,3.7837836802,0.1401288145,0.1980731661
19.5048762191,1.4572672599,3.9189659649,0.1403124771,0.2026179928
19.5648912228,1.4425446260,4.0582594808,0.1403124771,0.2026179928
19.6249062266,1.4277821205,4.2016738547,0.1403124771,0.2026179928
19.6849212303,1.4129949331,4.3492097823,0.1403124771,0.2026179928
19.7449362341,1.3981972315,4.5008587656,0.1300537918,0.2026179928
19.8049512378,1.3834022066,4.6566023991,0.1300537918,0.2026179928
19.8649662416,1.3686221149,4.8164114613,0.1300537918,0.2026179928
19.9249812453,1.3538683082,4.9802454932,0.0029803849,0.0953578305
19.9849962491,1.3391512746,5.1480522843,0.0029803849,0.0953578305
20.0450112528,1.3244806906,5.3197670132,0.0424024499,0.1645623892
20.1050262566,1.3098654546,5.4953117810,0.0424024499,0.1645623892
20.1650412603,1.2953137383,5.6745948751,0.0211979106,0.1447705247
20.2250562641,1.2808330187,5.8575103763,0.0211979106,0.1447705247
20.2850712678,1.2664301271,6.0439375458,0.0211979106,0.1447705247
20.3450862716,1.2521112877,6.2337403170,0.0490970732,0.1735533121
20.4051012753,1.2378821518,6.4267669549,0.0490970732,0.1735533121
20.4651162791,1.2237478436,6.6228495860,0.0490970732,0.1735533121
20.5251312828,1.2097129883,6.8218039869,0.0426827943,0.1735533121
20.5851462866,1.1957817474,7.0234293766,0.0426827943,0.1735533121
20.6451612903,1.1819578568,7.2275082975,0.0426827943,0.1735533121
20.7051762941,1.1682446503,7.4338066206,0.0382011699,0.1908641953
20.7651912978,1.1546450900,7.6420737076,0.0382011699,0.1908641953
20.8252063016,1.1411617994,7.8520427514,0.0382011699,0.1908641953
20.8852213053,1.1277970819,8.0634310330,0.0108687491,0.2108125540
20.9452363091,1.1145529451,8.2759405829,0.0108687491,0.2108125540
21.0052513128,1.1014311287,8.4892590507,0.0108687491,0.2108125540
21.0652663166,1.0884331236,8.7030606046,0.0202302122,0.2500000000
21.1252813203,1.0755601863,8.9170070058,0.0202302122,0.2500000000
21.1852963241,1.0628133589,9.1307481881,0.0202302122,0.2500000000
21.2453113278,1.0501934945,9.3439251707,0.0202302122,0.2500000000
21.3053263316,1.0377012655,9.5561711306,0.0202302122,0.2500000000
21.3653413353,1.0253371740,9.7671122621,0.2554382050,0.2500000000
21.4253563391,1.0131015717,9.9763703415,0.2554382050,0.2500000000
21.4853713428,1.0009946738,10.1835657943,0.2554382050,0.2500000000
21.5453863466,0.9890165698,10.3883189859,0.2554382050,0.2500000000
21.6054013503,0.9771672268,10.5902513253,0.1404678179,0.1993620697
21.6654163541,0.9654465078,10.7889898415,0.1404678179,0.1993620697
21.7254313578,0.9538541791,10.9841685007,0.1404678179,0.1993620697
21.7854463616,0.9423899173,11.1754298775,0.1874689517,0.2117420700
21.8454613653,0.9310533170,11.3624283348,0.1874689517,0.2117420700
21.9054763691,0.9198438992,11.5448320969,0.1874689517,0.2117420700
21.9654913728,0.9087611190,11.7223249723,0.1874689517,0.2117420700
22.0255063766,0.8978043689,11.8946078348,0.1418509695,0.2058949532
22.0855213803,0.8869729860,12.0614016336,0.1418509695,0.2058949532
22.1455363841,0.8762662585,12.2224479288,0.1418509695,0.2058949532
22.2055513878,0.8656834293,12.3775098236,0.1161550187,0.2130423951
22.2655663916,0.8552236997,12.5263738510,0.1161550187,0.2130423951
22.3255813953,0.8448862351,12.6688504564,0.1161550187,0.2130423951
22.3855963991,0.8346701691,12.8047742305,0.1161550187,0.2130423951
22.4456114029,0.8245746053,12.9340042365,0.0763644148,0.2216918936
22.5056264066,0.8145986214,13.0564244234,0.0763644148,0.2216918936
22.5656414104,0.8047412731,13.1719428176,0.0763644148,0.2216918936
22.6256564141,0.7950015963,13.2804913500,0.0460893638,0.2407634827
22.6856714179,0.7853786090,13.3820252862,0.0460893638,0.2407634827
22.7456864216,0.7758713141,13.4765225551,0.0460893638,0.2407634827
22.8057014254,0.7664787025,13.5639820275,0.0460893638,0.2407634827
22.8657164291,0.7571997545,13.6444231287,0.0220633975,0.2500000000
22.9257314329,0.7480334409,13.7178846100,0.0220633975,0.2500000000
22.9857464366,0.7389787256,13.7844234415,0.0220633975,0.2500000000
23.0457614404,0.7300345676,13.8441124841,0.0220633975,0.2500000000
23.1057764441,0.7211999216,13.8970399366,0.0625284491,0.2500000000
23.1657914479,0.7124737398,13.9433083435,0.0625284491,0.2500000000
23.2258064516,0.7038549725,13.9830327272,0.0625284491,0.2500000000
23.2858214554,0.6953425705,14.0163387343,0.0625284491,0.2500000000
23.3458364591,0.6869354856,14.0433620135,0.0625284491,0.2500000000
23.4058514629,0.6786326707,14.0642473590,0.0926141336,0.2444699239
23.4658664666,0.6704330818,14.0791466386,0.0926141336,0.2444699239
23.5258814704,0.6623356786,14.0882177802,0.0926141336,0.2444699239
23.5858964741,0.6543394252,14.0916238604,0.0926141336,0.2444699239
23.6459114779,0.6464432905,14.0895324983,0.0812182902,0.2444699239
23.7059264816,0.6386462491,14.0821143414,0.0812182902,0.2444699239
23.7659414854,0.6309472819,14.0695423792,0.0812182902,0.2444699239
23.8259564891,0.6233453767,14.0519909280,0.0812182902,0.2444699239
